 0;25
 1;22
 2;34
 3;26
 4;24
 5;26
 6;25
 7;30
 8;20
 9;19
 10;24
 11;30
 12;30
 13;22
 14;28
 15;18
 16;23
 17;21
 18;29
 19;25
 20;31
 21;27
 22;19
 23;22
 24;30
 25;26
 26;20
 27;25
 28;16
 29;35
 30;26
 31;31
 32;20
 33;32
 34;21
 35;20
 36;25
 37;25
 38;25
 39;27
 40;29
 41;25
 42;28
 43;27
 44;31
 45;28
 46;21
 47;21
 48;27
 49;30
 50;23
 51;27
 52;21
 53;12
 54;35
 55;25
 56;25
 57;19
 58;23
 59;19
 60;24
 61;28
 62;23
 63;24
 64;21
 65;24
 66;19
 67;30
 68;21
 69;16
 70;23
 71;15
 72;31
 73;29
 74;22
 75;26
 76;26
 77;32
 78;20
 79;29
 80;19
 81;23
 82;18
 83;26
 84;27
 85;25
 86;20
 87;24
 88;23
 89;26
 90;23
 91;25
 92;32
 93;27
 94;31
 95;17
 96;29
 97;24
 98;18
 99;27
 100;25
 101;21
 102;25
 103;21
 104;25
 105;23
 106;34
 107;21
 108;35
 109;25
 110;21
 111;26
 112;14
 113;27
 114;24
 115;19
 116;18
 117;30
 118;26
 119;28
 120;21
 121;26
 122;20
 123;30
 124;19
 125;23
 126;25
 127;26
 128;29
 129;20
 130;21
 131;16
 132;26
 133;29
 134;23
 135;14
 136;28
 137;29
 138;23
 139;14
 140;26
 141;30
 142;25
 143;18
 144;17
 145;29
 146;22
 147;24
 148;14
 149;24
 150;26
 151;31
 152;23
 153;31
 154;23
 155;29
 156;22
 157;28
 158;30
 159;21
 160;17
 161;19
 162;22
 163;12
 164;14
 165;21
 166;37
 167;28
 168;19
 169;19
 170;25
 171;21
 172;18
 173;19
 174;32
 175;23
 176;17
 177;13
 178;17
 179;28
 180;34
 181;24
 182;36
 183;23
 184;24
 185;27
 186;21
 187;29
 188;36
 189;21
 190;16
 191;19
 192;18
 193;27
 194;26
 195;25
 196;23
 197;26
 198;20
 199;24
 200;37
 201;18
 202;21
 203;32
 204;29
 205;20
 206;20
 207;32
 208;26
 209;22
 210;23
 211;24
 212;20
 213;21
 214;18
 215;23
 216;26
 217;17
 218;24
 219;27
 220;28
 221;26
 222;24
 223;21
 224;13
 225;35
 226;21
 227;27
 228;18
 229;27
 230;29
 231;29
 232;25
 233;31
 234;20
 235;21
 236;19
 237;30
 238;25
 239;21
 240;17
 241;23
 242;21
 243;32
 244;29
 245;41
 246;19
 247;30
 248;26
 249;22
